num_features	lambda	training_set	train_error	cv_error	mse
105	0.17	0.1	0.017296875	2.915625	4.02026148693
105	0.17	0.2	0.04828125	1.749484375	1.450539973
105	0.17	0.3	0.0497734375	1.8471875	1.90725463727
105	0.17	0.4	0.0093004190205	1.89082176003	1.88418079096
105	0.17	0.5	0.00414832915378	1.8872512311	1.85299485026
105	0.17	0.6	0.00839432288818	1.77922345057	1.84254537273
105	0.17	0.8	0.0456274612162	1.65748303935	1.61360681966
105	0.17	1	0.0968345459019	1.51604325433	1.49200039998
105	0.17	0.15	0.0516614583333	1.72608333333	1.94742762862
105	0.17	0.12	0.0199348958333	1.76869791667	1.56684665767
105	0.17	0.05	0.0	6.2040625	6.29716014199
105	0.17	0.07	0.00395089285714	3.95714285714	4.48946302685
105	0.17	0.03	0.0	8.09552083333	8.42229138543
105	0.17	0.04	0.0	7.3459375	7.38594320284
105	0.17	0.05	6.25e-05	6.217875	6.55550972451
105	0.17	0.06	2.60416666667e-05	5.5721875	4.86385680716
105	0.17	0.07	0.000446428571429	5.11142857143	5.38750562472
105	0.17	0.08	0.003056640625	3.406640625	2.21725163742
105	0.17	0.11	0.0199147727273	1.91366477273	3.69385280736
