truth threshold is 3 stars
num_features	lambda	mse	top_n	true_pos	false_pos	true_neg	false_neg	precision	recall
105	0.17	1.5114119294	100	91	9	3595	16306	0.91	0.005549795694334329
105	0.17	1.51723663817	50	44	6	3483	16468	0.88	0.0026647286821705426
105	0.17	1.52164891755	150	147	3	3525	16326	0.98	0.008923693316335822
105	0.17	1.48633818309	250	234	16	3550	16201	0.936	0.014237906905993306
105	0.17	1.52046147693	350	318	32	3558	16093	0.9085714285714286	0.01937724696849674
105	0.17	1.46395180241	450	417	33	3474	16077	0.9266666666666666	0.025281920698435795
105	0.17	1.50441227939	550	505	45	3524	15927	0.9181818181818182	0.03073271665043817
105	0.17	1.48496325184	50	46	4	3688	16263	0.92	0.0028205285425225335
105	0.17	1.48496325184	100	93	7	3685	16216	0.93	0.0057023729229259915
105	0.17	1.48496325184	150	141	9	3683	16168	0.94	0.008645533141210375
105	0.17	1.48496325184	200	191	9	3683	16118	0.955	0.011711325035256607
105	0.17	1.48496325184	250	236	14	3678	16073	0.944	0.014470537739898216
105	0.17	1.48496325184	300	282	18	3674	16027	0.94	0.01729106628242075
105	0.17	1.48496325184	350	328	22	3670	15981	0.9371428571428572	0.020111594824943284
105	0.17	1.48496325184	400	375	25	3667	15934	0.9375	0.02299343920534674
105	0.17	1.48496325184	450	425	25	3667	15884	0.9444444444444444	0.02605923109939297
105	0.17	1.48496325184	500	473	27	3665	15836	0.946	0.029002391317677356
105	0.17	1.48496325184	550	520	30	3662	15789	0.9454545454545454	0.03188423569808081
105	0.17	1.48496325184	600	564	36	3656	15745	0.94	0.0345821325648415
105	0.17	1.48496325184	650	610	40	3652	15699	0.9384615384615385	0.03740266110736403
105	0.17	1.48496325184	700	656	44	3648	15653	0.9371428571428572	0.04022318964988657
105	0.17	1.48496325184	750	701	49	3643	15608	0.9346666666666666	0.042982402354528174
105	0.17	1.48496325184	800	747	53	3639	15562	0.93375	0.04580293089705071
105	0.17	1.48496325184	850	792	58	3634	15517	0.9317647058823529	0.048562143601692316
105	0.17	1.48496325184	900	841	59	3633	15468	0.9344444444444444	0.051566619657857624
105	0.17	1.48496325184	950	886	64	3628	15423	0.9326315789473684	0.054325832362499236
105	0.17	1.47323883806	1000	925	75	3522	15479	0.925	0.056388685686417944
105	0.17	1.47323883806	1050	970	80	3517	15434	0.9238095238095239	0.059131919044135575
105	0.17	1.47323883806	1100	1015	85	3512	15389	0.9227272727272727	0.061875152401853206
105	0.17	1.47323883806	1150	1061	89	3508	15343	0.922608695652174	0.06467934650085345
105	0.17	1.47323883806	1200	1107	93	3504	15297	0.9225	0.06748354059985369
105	0.17	1.47323883806	1250	1152	98	3499	15252	0.9216	0.07022677395757132
105	0.17	1.47323883806	1300	1201	99	3498	15203	0.9238461538461539	0.0732138502804194
105	0.17	1.47323883806	1350	1248	102	3495	15156	0.9244444444444444	0.07607900512070227
105	0.17	1.47323883806	1400	1295	105	3492	15109	0.925	0.07894415996098512
105	0.17	1.47323883806	1450	1344	106	3491	15060	0.926896551724138	0.08193123628383321
105	0.17	1.47323883806	1500	1392	108	3489	15012	0.928	0.08485735186539868
105	0.17	1.47323883806	1550	1438	112	3485	14966	0.927741935483871	0.08766154596439893
105	0.17	1.47323883806	1600	1481	119	3478	14923	0.925625	0.09028285783955133
105	0.17	1.47323883806	1650	1528	122	3475	14876	0.926060606060606	0.09314801267983419
105	0.17	1.47323883806	1700	1576	124	3473	14828	0.9270588235294117	0.09607412826139966
105	0.17	1.47323883806	1750	1623	127	3470	14781	0.9274285714285714	0.09893928310168251
105	0.17	1.47323883806	1800	1669	131	3466	14735	0.9272222222222222	0.10174347720068276
105	0.17	1.47323883806	1850	1713	137	3460	14691	0.9259459459459459	0.10442574981711777
105	0.17	1.47323883806	1900	1756	144	3453	14648	0.9242105263157895	0.10704706169227018
105	0.17	1.47323883806	1950	1804	146	3451	14600	0.9251282051282051	0.10997317727383565
105	0.17	1.50071246438	2000	1853	147	3429	14572	0.9265	0.1128158295281583
105	0.17	1.50071246438	2100	1943	157	3419	14482	0.9252380952380952	0.11829528158295281
105	0.17	1.50071246438	2200	2039	161	3415	14386	0.9268181818181818	0.1241400304414003
105	0.17	1.50071246438	2300	2133	167	3409	14292	0.9273913043478261	0.12986301369863013
105	0.17	1.50071246438	2400	2226	174	3402	14199	0.9275	0.13552511415525115
105	0.17	1.50071246438	2500	2316	184	3392	14109	0.9264	0.14100456621004567
105	0.17	1.50071246438	2600	2401	199	3377	14024	0.9234615384615384	0.14617960426179605
105	0.17	1.50071246438	2700	2493	207	3369	13932	0.9233333333333333	0.15178082191780823
105	0.17	1.50071246438	2800	2585	215	3361	13840	0.9232142857142858	0.1573820395738204
105	0.17	1.50071246438	2900	2679	221	3355	13746	0.9237931034482758	0.16310502283105022
105	0.17	1.50071246438	3000	2772	228	3348	13653	0.924	0.16876712328767124
105	0.17	1.50071246438	3100	2864	236	3340	13561	0.9238709677419354	0.17436834094368342
105	0.17	1.50071246438	3200	2954	246	3330	13471	0.923125	0.17984779299847792
105	0.17	1.50071246438	3300	3046	254	3322	13379	0.923030303030303	0.1854490106544901
105	0.17	1.50071246438	3400	3136	264	3312	13289	0.9223529411764706	0.19092846270928462
105	0.17	1.50071246438	3500	3230	270	3306	13195	0.9228571428571428	0.19665144596651446
105	0.17	1.50071246438	3600	3319	281	3295	13106	0.9219444444444445	0.20207001522070014
105	0.17	1.50071246438	3700	3407	293	3283	13018	0.9208108108108108	0.20742770167427702
105	0.17	1.50071246438	3800	3491	309	3267	12934	0.9186842105263158	0.21254185692541858
105	0.17	1.50071246438	3900	3583	317	3259	12842	0.9187179487179488	0.21814307458143076
105	0.17	1.49610019499	4000	3639	361	3255	12746	0.90975	0.22209337808971621
105	0.17	1.49610019499	4100	3731	369	3247	12654	0.91	0.22770826975892586
105	0.17	1.49610019499	4200	3820	380	3236	12565	0.9095238095238095	0.2331400671345743
105	0.17	1.49610019499	4300	3909	391	3225	12476	0.9090697674418604	0.23857186451022278
105	0.17	1.49610019499	4400	3999	401	3215	12386	0.9088636363636363	0.2440646933170583
105	0.17	1.49610019499	4500	4089	411	3205	12296	0.9086666666666666	0.24955752212389382
105	0.17	1.49610019499	4600	4184	416	3200	12201	0.9095652173913044	0.25535550808666463
105	0.17	1.49610019499	4700	4271	429	3187	12114	0.9087234042553192	0.26066524259993895
105	0.17	1.49610019499	4800	4355	445	3171	12030	0.9072916666666667	0.2657918828196521
105	0.17	1.49610019499	4900	4446	454	3162	11939	0.9073469387755102	0.2713457430576747
105	0.17	1.49610019499	5000	4535	465	3151	11850	0.907	0.27677754043332314
105	0.17	1.49610019499	5100	4619	481	3135	11766	0.9056862745098039	0.2819041806530363
105	0.17	1.49610019499	5200	4704	496	3120	11681	0.9046153846153846	0.2870918523039365
105	0.17	1.49610019499	5300	4794	506	3110	11591	0.9045283018867925	0.29258468111077207
105	0.17	1.49610019499	5400	4886	514	3102	11499	0.9048148148148148	0.2981995727799817
105	0.17	1.49610019499	5500	4973	527	3089	11412	0.9041818181818182	0.30350930729325604
105	0.17	1.49610019499	5600	5060	540	3076	11325	0.9035714285714286	0.30881904180653036
105	0.17	1.49610019499	5700	5150	550	3066	11235	0.9035087719298246	0.3143118706133659
105	0.17	1.49610019499	5800	5233	567	3049	11152	0.9022413793103449	0.319377479401892
105	0.17	1.49610019499	5900	5323	577	3039	11062	0.9022033898305085	0.3248703082087275
105	0.17	1.49610019499	6000	5408	592	3024	10977	0.9013333333333333	0.3300579798596277
105	0.17	1.49610019499	6100	5491	609	3007	10894	0.9001639344262296	0.3351235886481538
105	0.17	1.49610019499	6200	5583	617	2999	10802	0.900483870967742	0.3407384803173634
105	0.17	1.49610019499	6300	5673	627	2989	10712	0.9004761904761904	0.34623130912419897
105	0.17	1.49610019499	6400	5763	637	2979	10622	0.90046875	0.35172413793103446
105	0.17	1.49610019499	6500	5846	654	2962	10539	0.8993846153846153	0.3567897467195606
105	0.17	1.49610019499	6600	5936	664	2952	10449	0.8993939393939394	0.3622825755263961
105	0.17	1.49610019499	6700	6022	678	2938	10363	0.8988059701492538	0.3675312786084834
105	0.17	1.49610019499	6800	6110	690	2926	10275	0.8985294117647059	0.3729020445529448
105	0.17	1.49610019499	6900	6197	703	2913	10188	0.8981159420289855	0.3782117790662191
105	0.17	1.49610019499	7000	6284	716	2900	10101	0.8977142857142857	0.38352151357949343
105	0.17	1.49610019499	7100	6367	733	2883	10018	0.8967605633802817	0.3885871223680195
105	0.17	1.49610019499	7200	6458	742	2874	9927	0.8969444444444444	0.39414098260604213
105	0.17	1.49610019499	7300	6546	754	2862	9839	0.8967123287671233	0.39951174855050353
105	0.17	1.49610019499	7400	6634	766	2850	9751	0.8964864864864864	0.40488251449496493
105	0.17	1.49610019499	7500	6722	778	2838	9663	0.8962666666666667	0.4102532804394263
105	0.17	1.49610019499	7600	6804	796	2820	9581	0.8952631578947369	0.41525785779676533
105	0.17	1.49610019499	7700	6895	805	2811	9490	0.8954545454545455	0.4208117180347879
105	0.17	1.49610019499	7800	6980	820	2796	9405	0.8948717948717949	0.4259993896856881
105	0.17	1.49610019499	7900	7066	834	2782	9319	0.8944303797468355	0.4312480927677754
105	0.17	1.51399930003	8000	7153	847	2751	9250	0.894125	0.43607876607937573
105	0.17	1.51399930003	8100	7241	859	2739	9162	0.8939506172839506	0.4414436383588368
105	0.17	1.51399930003	8200	7327	873	2725	9076	0.8935365853658537	0.4466865817228556
105	0.17	1.51399930003	8300	7418	882	2716	8985	0.8937349397590362	0.4522343473754801
105	0.17	1.51399930003	8400	7504	896	2702	8899	0.8933333333333333	0.4574772907394989
105	0.17	1.51399930003	8500	7591	909	2689	8812	0.8930588235294118	0.4627811985612388
105	0.17	1.51399930003	8600	7684	916	2682	8719	0.8934883720930232	0.4684508931293056
105	0.17	1.51399930003	8700	7769	931	2667	8634	0.8929885057471264	0.4736328720356032
105	0.17	1.51399930003	8800	7855	945	2653	8548	0.8926136363636363	0.47887581539962204
105	0.17	1.51399930003	8900	7941	959	2639	8462	0.892247191011236	0.4841187587636408
105	0.17	1.51399930003	9000	8030	970	2628	8373	0.8922222222222222	0.489544595500823
105	0.17	1.51399930003	9100	8115	985	2613	8288	0.8917582417582418	0.49472657440712065
105	0.17	1.51399930003	9200	8200	1000	2598	8203	0.8913043478260869	0.49990855331341827
105	0.17	1.51399930003	9300	8287	1013	2585	8116	0.8910752688172043	0.5052124611351582
